Time,R1,R2,R3,R4,Ave,SD
175.5,968.73,974.291,954.898,951.29,962.30225,10.97176171
176,968.731,974.244,954.69,951.189,962.2135,11.0355998
176.5,968.741,974.163,954.51,951.117,962.13275,11.0732252
177,968.71,974 J/m,954.414,950.913,958.0123333,9.428377609
177.5,968.72,973.963,954.429,950.826,961.9845,11.11229237
178,968.694,973.903,954.42,950.789,961.9515,11.09991827
178.5,968.556,973.689,954.194,950.67,961.77725,11.08629669
179,968.681,973.53,954.042,950.826,961.76975,11.03860862
179.5,968.686,973.31,953.886,950.986,961.717,10.94598148
180,968.671,973.152,953.7 J,951.139,964.3206667,11.63344714
180.5,968.681,973.115,953.579,951.352,961.68175,10.83308203
181,968.733,972.938,953.476,951.412,961.63975,10.78916637
181.5,968.774,972.837,953.577,951.548,961.684,10.69453839
182,969.182,972.658,953.587,951.669,961.774,10.68453577
182.5,969.64,972.515,953.753,951.676,961.896,10.70030445
183,969.613,972.418,953.618,951.575,961.806,10.72816384
183.5,969.597,972.16,953.657,951.489,961.72575,10.65717171
184,969.514,972.174,953.787,951.501,961.744,10.60488406
184.5,969.534,972.259,953.81,951.234,961.70925,10.71841019
185,969.683,972.122,953.609,951.242,961.664,10.75755911
185.5,969.681,972 J/m,953.55,951.123,958.118,10.08711103
186,969.515,972.079,953.345,951.012,961.48775,10.84215592
186.5,969.474,971.903,953.248,950.914,961.38475,10.83071027
187,969.651,971.868,953.096,950.673,961.322,10.97965746
187.5,969.71,971.754,952.993,950.734,961.29775,10.9645003
188,969.922,971.612,952.769,950.888,961.29775,10.98277307
188.5,970.011,971.459,952.718,951.115,961.32575,10.90059782
189,970.055,971.207,952.594,951.061,961.22925,10.88439569
189.5,970.155,971.139,952.547,950.901,961.1855,10.95321437
190,971.096,971.122,952.568,950.734,961.38,11.25900943
190.5,972.789,971.014,952.578,950.666,961.76175,11.75671871
191,974.12,970.828,952.651,950.559,962.0395,12.15349093
191.5,974.791,970.92,952.495,950.37,962.144,12.49926747
192,975.506,970.902,952.405,950.264,962.26925,12.7953817
192.5,975.913,970.828,952.357,950.067,962.29125,12.99422673
193,976.317,970.811,952.408,949.992,962.382,13.14312294
193.5,976.867,970.698,952.409,949.924,962.4745,13.33665811
194,977.254,970.67,952.333,949.816,962.51825,13.52380406
194.5,978.003,970.779,952.244,949.691,962.67925,13.8805901
195,978.403,970.696,952.146,949.972,962.80425,13.95069476
195.5,978.662,970.555,951.948,949.981,962.7865,14.06929286
196,979.159,970.391,951.833,950.192,962.89375,14.19438573
196.5,979.383,970.159,951.794,950.321,962.91425,14.21215483
197,979.46,970.082,951.795,950.247,962.896,14.25054495
197.5,979.643,969.964,951.699,950.024,962.8325,14.3928651
198,979.809,969.752,951.666,949.841,962.767,14.4860124
198.5,979.832,969.562,951.504,949.896,962.6985,14.49005741
199,980.078,969.488,951.388,950.074,962.757,14.553763
199.5,980.023,969.317,951.231,950.193,962.691,14.51245102
200,980.201,969.306,951.057,950.26,962.706,14.60864062
200.5,980.381,969.393,950.932,950.255,962.74025,14.728333
201,980.366,969.479,950.882,950.119,962.7115,14.78725299
201.5,980.562,969.409,950.682,949.962,962.65375,14.95261557
