Time,R1,R2,R3,R4,Ave,SD
164.5,739.618,742.625,742.538,742.304,741.77125,1.441885658
165,739.685,742.498,742.382,742.165,741.6825,1.338799587
165.5,739.462,742.549,742.352,742.129,741.623,1.450847339
166,739.474,742.482,742.168,741.954,741.5195,1.380799165
166.5,739.528,742.337,742.12,741.881,741.4665,1.305683091
167,739.449,742.228,742.045,741.864,741.3965,1.306809984
167.5,739.517,742.164,741.99,741.744,741.35375,1.23656308
168,739.489,742.234,742.008,741.908,741.40975,1.287740236
168.5,739.397,742.263,742.371,741.66,741.42275,1.386259806
169,739.634,742.054,742.495,741.626,741.45225,1.263019233
169.5,739.851,742.306,742.517,741.539,741.55325,1.210138387
170,740.15,742.365,742.504,741.491,741.6275,1.082250279
170.5,740.169,742.54,742.333,741.69,741.683,1.072255256
171,740.198,742.443,742.352,741.823,741.704,1.040548253
171.5,740.334,742.511,742.45,741.752,741.76175,1.012197074
172,740.435,742.788,742.862,741.84,741.98125,1.130988764
172.5,740.289,742.626,742.929,741.886,741.9325,1.180001271
173,740.213,742.714,743,741.952,741.96975,1.25190638
173.5,740.125,742.861,743.051,741.915,741.988,1.337684068
174,740.075,743.103,743.033,741.919,742.0325,1.413230224
174.5,739.996,743.234,743.27,741.754,742.0635,1.548769296
175,739.913,743.263,743.27,741.889,742.08375,1.586180186
175.5,739.688,743.162,743.235,741.799,741.971,1.659101162
176,739.76,743.262,743.396,741.815,742.05825,1.691125143
176.5,739.741,743.269,743.235,741.695,741.985,1.666412514
177,739.612,743.122,743.185,741.566,741.87125,1.682032773
177.5,739.664,743.092,743.124,741.453,741.83325,1.643240979
178,739.473,743.188,743.261,741.36,741.8205,1.795170651
178.5,739.327,743.175,743.146,741.302,741.7375,1.830341407
179,739.185,743.145,742.91,741.359,741.64975,1.824237809
179.5,739.193,743.109,742.875,741.39,741.64175,1.80124797
180,739.173,743.235,742.846,741.582,741.709,1.832018013
180.5,739.059,743.24,742.806,741.413,741.6295,1.882569609
181,739.093,743.181,742.62,741.338,741.558,1.815360203
181.5,739.035,743.324,742.576,741.279,741.5535,1.879571671
182,738.873,743.262,742.425,741.113,741.41825,1.913498955
182.5,738.649,743.021,742.445,741.234,741.33725,1.940744939
183,738.8,742.955,742.397,741.219,741.34275,1.843157142
183.5,738.811,742.806,742.377,741.283,741.31925,1.790892957
184,738.892,742.919,742.438,741.397,741.4115,1.795768081
184.5,738.994,742.722,742.424,741.284,741.356,1.692218268
185,739.257,742.746,742.588,741.02,741.40275,1.628893157
185.5,739.637,742.916,742.444,741.242,741.55975,1.462787835
186,739.867,742.713,742.444,741.393,741.60425,1.290629142
186.5,739.801,742.671,742.334,741.483,741.57225,1.282290496
187,739.811,742.522,742.479,741.545,741.58925,1.268307107
187.5,739.898,742.763,742.441,741.823,741.73125,1.282897339
188,739.931,742.764,742.181,741.917,741.69825,1.23016188
188.5,739.86,742.771,742.039,742.178,741.712,1.274816327
189,740.018,742.74,742.018,742.274,741.7625,1.200791267
189.5,739.881,742.806,742.038,742.327,741.763,1.294023957
190,739.771,742.858,741.915,742.471,741.75375,1.377330117
190.5,739.813,742.708,741.876,742.676,741.76825,1.359136092
191,739.857,742.52,741.852,742.737,741.7415,1.311568145
191.5,739.86,742.481,741.75,742.729,741.705,1.298306846
192,739.893,742.421,741.653,742.753,741.68,1.277302888
192.5,739.916,742.329,741.471,742.774,741.6225,1.259654582
193,739.616,742.225,741.565,742.801,741.55175,1.385784345
193.5,739.502,742.22,741.6,742.744,741.5165,1.422070205
194,739.513,742.057,741.566,742.546,741.4205,1.333117774
194.5,739.29,742.042,741.76,742.46,741.388,1.4279225
195,739.319,741.968,741.862,742.216,741.34125,1.356303647
195.5,739.323,741.977,741.94,742.277,741.37925,1.379113816
196,739.305,741.549,742.087,742.174,741.27875,1.344552559
196.5,739.445,741.742,742.082,742.36,741.40725,1.332354151
197,739.601,741.617,742.123,742.291,741.408,1.238257378
197.5,739.923,741.579,742.231,742.036,741.44225,1.049045082
198,740.195,741.628,741.86,742.226,741.47725,0.889571948
198.5,740.458,741.53,741.864,742.245,741.52425,0.768512145
199,740.616,741.594,741.75,742.221,741.54525,0.674399177
199.5,740.61,741.752,741.658,742.372,741.598,0.730875274
200,740.579,741.86,741.81,742.378,741.65675,0.763007809
200.5,740.737,741.757,741.891,742.201,741.6465,0.634205803
201,740.56,742.22,741.866,742.102,741.687,0.765611738
201.5,740.448,742.191,741.86,742.031,741.6325,0.801149383
202,740.42,742.391,741.897,742.148,741.714,0.885928891
202.5,740.405,742.689,741.97,741.987,741.76275,0.965170926
203,740.465,742.481,742.027,741.819,741.698,0.867229305
203.5,740.332,742.453,742.029,741.827,741.66025,0.923125623
204,740.306,742.65,742.19,741.623,741.69225,1.015139522
204.5,740.161,742.749,742.036,741.625,741.64275,1.091532982
205,740.068,742.813,742.076,741.683,741.66,1.160094536
205.5,740.06,742.837,742.231,741.583,741.67775,1.193878658
206,739.946,742.863,742.079,741.656,741.636,1.232649991
206.5,739.773,743,742.241,742.092,741.7765,1.393588294
207,739.777,743.016,742.162,742.462,741.85425,1.429300616
207.5,739.618,743.168,742.223,742.311,741.83,1.53503507
