Time,R1,R2,R3,R4,Ave,SD
218,864.003,853.272,839.359,852.794,852.357,10.09299285
218.5,863.877,853.081,839.355,852.915,852.307,10.04303978
219,863.821,852.976,839.187,852.759,852.18575,10.0879409
219.5,863.636,853.008,839.511,852.797,852.238,9.879209044
220,863.709,852.963,839.58,852.502,852.1885,9.872424981
220.5,863.507,852.862,839.292,852.501,852.0405,9.914497752
221,863.407,852.771,839.352,852.81,852.085,9.854156382
221.5,863.458,852.667,839.273,852.995,852.09825,9.910576753
222,863.414,852.737,839.279,853.257,852.17175,9.901320834
222.5,863.367,852.505,839.207,853.726,852.20125,9.932130231
223,863.483,852.396,839.097,853.884,852.215,10.03108618
223.5,863.37,852.205,838.988,854.117,852.17,10.04982849
224,863.265,852.353,838.957,854.045,852.155,10.02048914
224.5,863.134,852.577,839.087,853.885,852.17075,9.907590638
225,863.037,852.826,839.207,853.82,852.2225,9.819587042
225.5,862.985,852.743,839.118,853.92,852.1915,9.84391367
226,863.048,852.614,839.066,853.879,852.15175,9.88537952
226.5,862.936,852.519,838.875,853.757,852.02175,9.919950248
227,862.72,852.373,838.965,854.236,852.0735,9.831019632
227.5,862.839,852.377,838.738,854.179,852.03325,9.970795902
228,862.618,852.391,838.696,854.184,851.97225,9.910566697
228.5,862.595,852.37,838.754,853.916,851.90875,9.857064992
229,862.493,852.385,838.708,854.102,851.922,9.854315569
229.5,862.441,852.253,838.585,854.107,851.8465,9.889150874
230,862.316,852.077,838.573,854.237,851.80075,9.858253408
230.5,862.338,852.509,838.507,854.492,851.9615,9.923012127
231,862.224,852.531,838.344,854.314,851.85325,9.942617475
231.5,862.038,852.684,838.52,854.162,851.851,9.789878106
232,862.287,852.591,838.456,854.076,851.8525,9.896705462
232.5,862.043,852.456,838.663,854.083,851.81125,9.714966748
233,862.09,852.525,838.759,854.051,851.85625,9.687307
