Time,R1,R2,R3,R4,Average,SD
212.5,472.013,475.235,468.254,472.836,472.0845,2.896448688
213,472.104,475.316,468.241,472.749,472.1025,2.924364831
213.5,472.116,475.321,468.181,472.752,472.0925,2.952882039
214,472.141,475.315,468.145,472.685,472.0715,2.961919817
214.5,472.077,475.357,468.139,472.667,472.06,2.978432921
215,472.036,475.351,468.13,472.639,472.039,2.978234041
215.5,472.108,475.27,468.03,472.593,472.00025,2.989822333
216,472.103,475.278,468.077,472.569,472.00675,2.970376
216.5,472.187,475.271,468.134,472.492,472.021,2.939425454
217,472.078,475.234,468.173,472.419,471.976,2.903103282
217.5,472.06,475.287,468.096,472.424,471.96675,2.956604965
218,472.176,475.339,468.101,472.383,471.99975,2.973706259
218.5,472.249,475.333,468.148,472.355,472.02125,2.951441046
219,472.222,475.338,468.164,472.349,472.01825,2.945442397
219.5,472.361,475.277,468.134,472.323,472.02375,2.939222048
220,472.554,475.297,468.221,472.303,472.09375,2.916311526
220.5,472.558,475.249,468.238,472.316,472.09025,2.891786342
221,472.591,475.225,468.206,472.282,472.076,2.898319168
221.5,472.554,475.261,468.215,472.329,472.08975,2.906503211
222,472.512,475.246,468.243,472.297,472.0745,2.885580069
222.5,472.485,475.287,468.188,472.254,472.0535,2.922556244
223,472.474,475.249,468.221,472.185,472.03225,2.892034045
223.5,472.473,475.211,468.136,472.15,471.9925,2.914733893
224,472.443,475.196,468.216,472.119,471.9935,2.871893278
224.5,472.415,475.154,468.236,472.122,471.98175,2.846119507
225,472.423,475.216,468.271,472.039,471.98725,2.853529788
225.5,472.339,475.346,468.293,472.023,472.00025,2.889810533
226,472.373,475.342,468.283,471.915,471.97825,2.894219224
226.5,472.296,475.355,468.246,471.928,471.95625,2.911682489
227,472.238,475.281,468.268,471.861,471.912,2.871571811
227.5,472.214,475.303,468.216,471.842,471.89375,2.901382932
228,472.26,475.213,468.194,471.794,471.86525,2.877870205
228.5,472.21,475.212,468.228,471.725,471.84375,2.861642695
229,472.235,475.249,468.201,471.744,471.85725,2.888347437
229.5,472.244,475.169,468.211,471.69,471.8285,2.854065463
230,472.145,475.089,468.155,471.627,471.754,2.842770714
230.5,472.176,475.14,468.103,471.591,471.7525,2.886719072
231,472.132,475.172,468.126,471.526,471.739,2.889006519
